Rank: 1 | Name: Wii Sports | Platform: Wii Sports | Year: 2006 | Genre: Sports | Publisher: Nintendo | NA_Sales: 41.49 | EU_Sales: 29.02 | JP_Sales: 3.77 | Other_Sales: 8.46 | Global_Sales: 82.74
Rank: 12 | Name: Mario Kart DS | Platform: Mario Kart DS | Year: 2005 | Genre: Racing | Publisher: Nintendo | NA_Sales: 9.81 | EU_Sales: 7.57 | JP_Sales: 4.13 | Other_Sales: 1.92 | Global_Sales: 23.42
Rank: 13 | Name: Pokemon Gold/Pokemon Silver | Platform: Pokemon Gold/Pokemon Silver | Year: 1999 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 9 | EU_Sales: 6.18 | JP_Sales: 7.2 | Other_Sales: 0.71 | Global_Sales: 23.1
Rank: 14 | Name: Wii Fit | Platform: Wii Fit | Year: 2007 | Genre: Sports | Publisher: Nintendo | NA_Sales: 8.94 | EU_Sales: 8.03 | JP_Sales: 3.6 | Other_Sales: 2.15 | Global_Sales: 22.72
Rank: 15 | Name: Wii Fit Plus | Platform: Wii Fit Plus | Year: 2009 | Genre: Sports | Publisher: Nintendo | NA_Sales: 9.09 | EU_Sales: 8.59 | JP_Sales: 2.53 | Other_Sales: 1.79 | Global_Sales: 22
Rank: 16 | Name: Kinect Adventures! | Platform: Kinect Adventures! | Year: 2010 | Genre: Misc | Publisher: Microsoft Game Studios | NA_Sales: 14.97 | EU_Sales: 4.94 | JP_Sales: 0.24 | Other_Sales: 1.67 | Global_Sales: 21.82
Rank: 17 | Name: Grand Theft Auto V | Platform: Grand Theft Auto V | Year: 2013 | Genre: Action | Publisher: Take-Two Interactive | NA_Sales: 7.01 | EU_Sales: 9.27 | JP_Sales: 0.97 | Other_Sales: 4.14 | Global_Sales: 21.4
Rank: 18 | Name: Grand Theft Auto: San Andreas | Platform: Grand Theft Auto: San Andreas | Year: 2004 | Genre: Action | Publisher: Take-Two Interactive | NA_Sales: 9.43 | EU_Sales: 0.4 | JP_Sales: 0.41 | Other_Sales: 10.57 | Global_Sales: 20.81
Rank: 19 | Name: Super Mario World | Platform: Super Mario World | Year: 1990 | Genre: Platform | Publisher: Nintendo | NA_Sales: 12.78 | EU_Sales: 3.75 | JP_Sales: 3.54 | Other_Sales: 0.55 | Global_Sales: 20.61
Rank: 20 | Name: Brain Age: Train Your Brain in Minutes a Day | Platform: Brain Age: Train Your Brain in Minutes a Day | Year: 2005 | Genre: Misc | Publisher: Nintendo | NA_Sales: 4.75 | EU_Sales: 9.26 | JP_Sales: 4.16 | Other_Sales: 2.05 | Global_Sales: 20.22
Rank: 21 | Name: Pokemon Diamond/Pokemon Pearl | Platform: Pokemon Diamond/Pokemon Pearl | Year: 2006 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 6.42 | EU_Sales: 4.52 | JP_Sales: 6.04 | Other_Sales: 1.37 | Global_Sales: 18.36
Rank: 22 | Name: Super Mario Land | Platform: Super Mario Land | Year: 1989 | Genre: Platform | Publisher: Nintendo | NA_Sales: 10.83 | EU_Sales: 2.71 | JP_Sales: 4.18 | Other_Sales: 0.42 | Global_Sales: 18.14
Rank: 23 | Name: Super Mario Bros. 3 | Platform: Super Mario Bros. 3 | Year: 1988 | Genre: Platform | Publisher: Nintendo | NA_Sales: 9.54 | EU_Sales: 3.44 | JP_Sales: 3.84 | Other_Sales: 0.46 | Global_Sales: 17.28
Rank: 24 | Name: Grand Theft Auto V | Platform: Grand Theft Auto V | Year: 2013 | Genre: Action | Publisher: Take-Two Interactive | NA_Sales: 9.63 | EU_Sales: 5.31 | JP_Sales: 0.06 | Other_Sales: 1.38 | Global_Sales: 16.38
Rank: 25 | Name: Grand Theft Auto: Vice City | Platform: Grand Theft Auto: Vice City | Year: 2002 | Genre: Action | Publisher: Take-Two Interactive | NA_Sales: 8.41 | EU_Sales: 5.49 | JP_Sales: 0.47 | Other_Sales: 1.78 | Global_Sales: 16.15
Rank: 26 | Name: Pokemon Ruby/Pokemon Sapphire | Platform: Pokemon Ruby/Pokemon Sapphire | Year: 2002 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 6.06 | EU_Sales: 3.9 | JP_Sales: 5.38 | Other_Sales: 0.5 | Global_Sales: 15.85
Rank: 27 | Name: Pokemon Black/Pokemon White | Platform: Pokemon Black/Pokemon White | Year: 2010 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 5.57 | EU_Sales: 3.28 | JP_Sales: 5.65 | Other_Sales: 0.82 | Global_Sales: 15.32
Rank: 28 | Name: Brain Age 2: More Training in Minutes a Day | Platform: Brain Age 2: More Training in Minutes a Day | Year: 2005 | Genre: Puzzle | Publisher: Nintendo | NA_Sales: 3.44 | EU_Sales: 5.36 | JP_Sales: 5.32 | Other_Sales: 1.18 | Global_Sales: 15.3
Rank: 29 | Name: Gran Turismo 3: A-Spec | Platform: Gran Turismo 3: A-Spec | Year: 2001 | Genre: Racing | Publisher: Sony Computer Entertainment | NA_Sales: 6.85 | EU_Sales: 5.09 | JP_Sales: 1.87 | Other_Sales: 1.16 | Global_Sales: 14.98
Rank: 30 | Name: Call of Duty: Modern Warfare 3 | Platform: Call of Duty: Modern Warfare 3 | Year: 2011 | Genre: Shooter | Publisher: Activision | NA_Sales: 9.03 | EU_Sales: 4.28 | JP_Sales: 0.13 | Other_Sales: 1.32 | Global_Sales: 14.76
Rank: 31 | Name: Pokémon Yellow: Special Pikachu Edition | Platform: Pokémon Yellow: Special Pikachu Edition | Year: 1998 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 5.89 | EU_Sales: 5.04 | JP_Sales: 3.12 | Other_Sales: 0.59 | Global_Sales: 14.64
Rank: 32 | Name: Call of Duty: Black Ops | Platform: Call of Duty: Black Ops | Year: 2010 | Genre: Shooter | Publisher: Activision | NA_Sales: 9.67 | EU_Sales: 3.73 | JP_Sales: 0.11 | Other_Sales: 1.13 | Global_Sales: 14.64
Rank: 33 | Name: Pokemon X/Pokemon Y | Platform: Pokemon X/Pokemon Y | Year: 2013 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 5.17 | EU_Sales: 4.05 | JP_Sales: 4.34 | Other_Sales: 0.79 | Global_Sales: 14.35
Rank: 34 | Name: Call of Duty: Black Ops 3 | Platform: Call of Duty: Black Ops 3 | Year: 2015 | Genre: Shooter | Publisher: Activision | NA_Sales: 5.77 | EU_Sales: 5.81 | JP_Sales: 0.35 | Other_Sales: 2.31 | Global_Sales: 14.24
Rank: 35 | Name: Call of Duty: Black Ops II | Platform: Call of Duty: Black Ops II | Year: 2012 | Genre: Shooter | Publisher: Activision | NA_Sales: 4.99 | EU_Sales: 5.88 | JP_Sales: 0.65 | Other_Sales: 2.52 | Global_Sales: 14.03
Rank: 36 | Name: Call of Duty: Black Ops II | Platform: Call of Duty: Black Ops II | Year: 2012 | Genre: Shooter | Publisher: Activision | NA_Sales: 8.25 | EU_Sales: 4.3 | JP_Sales: 0.07 | Other_Sales: 1.12 | Global_Sales: 13.73
Rank: 37 | Name: Call of Duty: Modern Warfare 2 | Platform: Call of Duty: Modern Warfare 2 | Year: 2009 | Genre: Shooter | Publisher: Activision | NA_Sales: 8.52 | EU_Sales: 3.63 | JP_Sales: 0.08 | Other_Sales: 1.29 | Global_Sales: 13.51
Rank: 38 | Name: Call of Duty: Modern Warfare 3 | Platform: Call of Duty: Modern Warfare 3 | Year: 2011 | Genre: Shooter | Publisher: Activision | NA_Sales: 5.54 | EU_Sales: 5.82 | JP_Sales: 0.49 | Other_Sales: 1.62 | Global_Sales: 13.46
Rank: 39 | Name: Grand Theft Auto III | Platform: Grand Theft Auto III | Year: 2001 | Genre: Action | Publisher: Take-Two Interactive | NA_Sales: 6.99 | EU_Sales: 4.51 | JP_Sales: 0.3 | Other_Sales: 1.3 | Global_Sales: 13.1
Rank: 40 | Name: Super Smash Bros. Brawl | Platform: Super Smash Bros. Brawl | Year: 2008 | Genre: Fighting | Publisher: Nintendo | NA_Sales: 6.75 | EU_Sales: 2.61 | JP_Sales: 2.66 | Other_Sales: 1.02 | Global_Sales: 13.04
Rank: 41 | Name: Call of Duty: Black Ops | Platform: Call of Duty: Black Ops | Year: 2010 | Genre: Shooter | Publisher: Activision | NA_Sales: 5.98 | EU_Sales: 4.44 | JP_Sales: 0.48 | Other_Sales: 1.83 | Global_Sales: 12.73
Rank: 42 | Name: Animal Crossing: Wild World | Platform: Animal Crossing: Wild World | Year: 2005 | Genre: Simulation | Publisher: Nintendo | NA_Sales: 2.55 | EU_Sales: 3.52 | JP_Sales: 5.33 | Other_Sales: 0.88 | Global_Sales: 12.27
Rank: 43 | Name: Mario Kart 7 | Platform: Mario Kart 7 | Year: 2011 | Genre: Racing | Publisher: Nintendo | NA_Sales: 4.74 | EU_Sales: 3.91 | JP_Sales: 2.67 | Other_Sales: 0.89 | Global_Sales: 12.21
Rank: 44 | Name: Halo 3 | Platform: Halo 3 | Year: 2007 | Genre: Shooter | Publisher: Microsoft Game Studios | NA_Sales: 7.97 | EU_Sales: 2.83 | JP_Sales: 0.13 | Other_Sales: 1.21 | Global_Sales: 12.14
Rank: 45 | Name: Grand Theft Auto V | Platform: Grand Theft Auto V | Year: 2014 | Genre: Action | Publisher: Take-Two Interactive | NA_Sales: 3.8 | EU_Sales: 5.81 | JP_Sales: 0.36 | Other_Sales: 2.02 | Global_Sales: 11.98
Rank: 46 | Name: Pokemon HeartGold/Pokemon SoulSilver | Platform: Pokemon HeartGold/Pokemon SoulSilver | Year: 2009 | Genre: Action | Publisher: Nintendo | NA_Sales: 4.4 | EU_Sales: 2.77 | JP_Sales: 3.96 | Other_Sales: 0.77 | Global_Sales: 11.9
Rank: 47 | Name: Super Mario 64 | Platform: Super Mario 64 | Year: 1996 | Genre: Platform | Publisher: Nintendo | NA_Sales: 6.91 | EU_Sales: 2.85 | JP_Sales: 1.91 | Other_Sales: 0.23 | Global_Sales: 11.89
Rank: 48 | Name: Gran Turismo 4 | Platform: Gran Turismo 4 | Year: 2004 | Genre: Racing | Publisher: Sony Computer Entertainment | NA_Sales: 3.01 | EU_Sales: 0.01 | JP_Sales: 1.1 | Other_Sales: 7.53 | Global_Sales: 11.66
Rank: 49 | Name: Super Mario Galaxy | Platform: Super Mario Galaxy | Year: 2007 | Genre: Platform | Publisher: Nintendo | NA_Sales: 6.16 | EU_Sales: 3.4 | JP_Sales: 1.2 | Other_Sales: 0.76 | Global_Sales: 11.52
Rank: 50 | Name: Pokemon Omega Ruby/Pokemon Alpha Sapphire | Platform: Pokemon Omega Ruby/Pokemon Alpha Sapphire | Year: 2014 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 4.23 | EU_Sales: 3.37 | JP_Sales: 3.08 | Other_Sales: 0.65 | Global_Sales: 11.33
Rank: 51 | Name: Super Mario Land 2: 6 Golden Coins | Platform: Super Mario Land 2: 6 Golden Coins | Year: 1992 | Genre: Adventure | Publisher: Nintendo | NA_Sales: 6.16 | EU_Sales: 2.04 | JP_Sales: 2.69 | Other_Sales: 0.29 | Global_Sales: 11.18
Rank: 52 | Name: Grand Theft Auto IV | Platform: Grand Theft Auto IV | Year: 2008 | Genre: Action | Publisher: Take-Two Interactive | NA_Sales: 6.76 | EU_Sales: 3.1 | JP_Sales: 0.14 | Other_Sales: 1.03 | Global_Sales: 11.02
Rank: 53 | Name: Gran Turismo | Platform: Gran Turismo | Year: 1997 | Genre: Racing | Publisher: Sony Computer Entertainment | NA_Sales: 4.02 | EU_Sales: 3.87 | JP_Sales: 2.54 | Other_Sales: 0.52 | Global_Sales: 10.95
Rank: 54 | Name: Super Mario 3D Land | Platform: Super Mario 3D Land | Year: 2011 | Genre: Platform | Publisher: Nintendo | NA_Sales: 4.89 | EU_Sales: 2.99 | JP_Sales: 2.13 | Other_Sales: 0.78 | Global_Sales: 10.79
Rank: 55 | Name: Gran Turismo 5 | Platform: Gran Turismo 5 | Year: 2010 | Genre: Racing | Publisher: Sony Computer Entertainment | NA_Sales: 2.96 | EU_Sales: 4.88 | JP_Sales: 0.81 | Other_Sales: 2.12 | Global_Sales: 10.77
Rank: 56 | Name: Call of Duty: Modern Warfare 2 | Platform: Call of Duty: Modern Warfare 2 | Year: 2009 | Genre: Shooter | Publisher: Activision | NA_Sales: 4.99 | EU_Sales: 3.69 | JP_Sales: 0.38 | Other_Sales: 1.63 | Global_Sales: 10.69
Rank: 57 | Name: Grand Theft Auto IV | Platform: Grand Theft Auto IV | Year: 2008 | Genre: Action | Publisher: Take-Two Interactive | NA_Sales: 4.76 | EU_Sales: 3.76 | JP_Sales: 0.44 | Other_Sales: 1.62 | Global_Sales: 10.57
Rank: 58 | Name: Super Mario All-Stars | Platform: Super Mario All-Stars | Year: 1993 | Genre: Platform | Publisher: Nintendo | NA_Sales: 5.99 | EU_Sales: 2.15 | JP_Sales: 2.12 | Other_Sales: 0.29 | Global_Sales: 10.55
Rank: 59 | Name: Pokemon FireRed/Pokemon LeafGreen | Platform: Pokemon FireRed/Pokemon LeafGreen | Year: 2004 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 4.34 | EU_Sales: 2.65 | JP_Sales: 3.15 | Other_Sales: 0.35 | Global_Sales: 10.49
Rank: 60 | Name: Super Mario 64 | Platform: Super Mario 64 | Year: 2004 | Genre: Platform | Publisher: Nintendo | NA_Sales: 5.08 | EU_Sales: 3.11 | JP_Sales: 1.25 | Other_Sales: 0.98 | Global_Sales: 10.42
Rank: 61 | Name: Just Dance 3 | Platform: Just Dance 3 | Year: 2011 | Genre: Misc | Publisher: Ubisoft | NA_Sales: 6.05 | EU_Sales: 3.15 | JP_Sales: 0 | Other_Sales: 1.07 | Global_Sales: 10.26
Rank: 62 | Name: Call of Duty: Ghosts | Platform: Call of Duty: Ghosts | Year: 2013 | Genre: Shooter | Publisher: Activision | NA_Sales: 6.72 | EU_Sales: 2.63 | JP_Sales: 0.04 | Other_Sales: 0.82 | Global_Sales: 10.21
Rank: 63 | Name: Halo: Reach | Platform: Halo: Reach | Year: 2010 | Genre: Shooter | Publisher: Microsoft Game Studios | NA_Sales: 7.03 | EU_Sales: 1.98 | JP_Sales: 0.08 | Other_Sales: 0.78 | Global_Sales: 9.88
Rank: 64 | Name: Mario Kart 64 | Platform: Mario Kart 64 | Year: 1996 | Genre: Racing | Publisher: Nintendo | NA_Sales: 5.55 | EU_Sales: 1.94 | JP_Sales: 2.23 | Other_Sales: 0.15 | Global_Sales: 9.87
Rank: 65 | Name: New Super Mario Bros. 2 | Platform: New Super Mario Bros. 2 | Year: 2012 | Genre: Platform | Publisher: Nintendo | NA_Sales: 3.66 | EU_Sales: 3.07 | JP_Sales: 2.47 | Other_Sales: 0.63 | Global_Sales: 9.82
Rank: 66 | Name: Halo 4 | Platform: Halo 4 | Year: 2012 | Genre: Shooter | Publisher: Microsoft Game Studios | NA_Sales: 6.63 | EU_Sales: 2.36 | JP_Sales: 0.04 | Other_Sales: 0.73 | Global_Sales: 9.76
Rank: 67 | Name: Final Fantasy VII | Platform: Final Fantasy VII | Year: 1997 | Genre: Role-Playing | Publisher: Sony Computer Entertainment | NA_Sales: 3.01 | EU_Sales: 2.47 | JP_Sales: 3.28 | Other_Sales: 0.96 | Global_Sales: 9.72
Rank: 68 | Name: Call of Duty: Ghosts | Platform: Call of Duty: Ghosts | Year: 2013 | Genre: Shooter | Publisher: Activision | NA_Sales: 4.09 | EU_Sales: 3.73 | JP_Sales: 0.38 | Other_Sales: 1.38 | Global_Sales: 9.59
Rank: 69 | Name: Just Dance 2 | Platform: Just Dance 2 | Year: 2010 | Genre: Misc | Publisher: Ubisoft | NA_Sales: 5.84 | EU_Sales: 2.89 | JP_Sales: 0.01 | Other_Sales: 0.78 | Global_Sales: 9.52
Rank: 70 | Name: Gran Turismo 2 | Platform: Gran Turismo 2 | Year: 1999 | Genre: Racing | Publisher: Sony Computer Entertainment | NA_Sales: 3.88 | EU_Sales: 3.42 | JP_Sales: 1.69 | Other_Sales: 0.5 | Global_Sales: 9.49
Rank: 71 | Name: Call of Duty 4: Modern Warfare | Platform: Call of Duty 4: Modern Warfare | Year: 2007 | Genre: Shooter | Publisher: Activision | NA_Sales: 5.91 | EU_Sales: 2.38 | JP_Sales: 0.13 | Other_Sales: 0.9 | Global_Sales: 9.32
Rank: 72 | Name: Donkey Kong Country | Platform: Donkey Kong Country | Year: 1994 | Genre: Platform | Publisher: Nintendo | NA_Sales: 4.36 | EU_Sales: 1.71 | JP_Sales: 3 | Other_Sales: 0.23 | Global_Sales: 9.3
Rank: 73 | Name: Minecraft | Platform: Minecraft | Year: 2013 | Genre: Misc | Publisher: Microsoft Game Studios | NA_Sales: 5.58 | EU_Sales: 2.83 | JP_Sales: 0.02 | Other_Sales: 0.77 | Global_Sales: 9.2
Rank: 74 | Name: Animal Crossing: New Leaf | Platform: Animal Crossing: New Leaf | Year: 2012 | Genre: Simulation | Publisher: Nintendo | NA_Sales: 2.01 | EU_Sales: 2.32 | JP_Sales: 4.36 | Other_Sales: 0.41 | Global_Sales: 9.09
Rank: 75 | Name: Mario Party DS | Platform: Mario Party DS | Year: 2007 | Genre: Misc | Publisher: Nintendo | NA_Sales: 4.46 | EU_Sales: 1.88 | JP_Sales: 1.98 | Other_Sales: 0.7 | Global_Sales: 9.02
Rank: 76 | Name: The Elder Scrolls V: Skyrim | Platform: The Elder Scrolls V: Skyrim | Year: 2011 | Genre: Role-Playing | Publisher: Bethesda Softworks | NA_Sales: 5.03 | EU_Sales: 2.86 | JP_Sales: 0.1 | Other_Sales: 0.85 | Global_Sales: 8.84
Rank: 77 | Name: Super Mario Kart | Platform: Super Mario Kart | Year: 1992 | Genre: Racing | Publisher: Nintendo | NA_Sales: 3.54 | EU_Sales: 1.24 | JP_Sales: 3.81 | Other_Sales: 0.18 | Global_Sales: 8.76
Rank: 78 | Name: FIFA 16 | Platform: FIFA 16 | Year: 2015 | Genre: Sports | Publisher: Electronic Arts | NA_Sales: 1.11 | EU_Sales: 6.06 | JP_Sales: 0.06 | Other_Sales: 1.26 | Global_Sales: 8.49
Rank: 79 | Name: Wii Party | Platform: Wii Party | Year: 2010 | Genre: Misc | Publisher: Nintendo | NA_Sales: 1.79 | EU_Sales: 3.53 | JP_Sales: 2.49 | Other_Sales: 0.68 | Global_Sales: 8.49
Rank: 80 | Name: Halo 2 | Platform: Halo 2 | Year: 2004 | Genre: Shooter | Publisher: Microsoft Game Studios | NA_Sales: 6.82 | EU_Sales: 1.53 | JP_Sales: 0.05 | Other_Sales: 0.08 | Global_Sales: 8.49
Rank: 81 | Name: Mario Party 8 | Platform: Mario Party 8 | Year: 2007 | Genre: Misc | Publisher: Nintendo | NA_Sales: 3.81 | EU_Sales: 2.3 | JP_Sales: 1.58 | Other_Sales: 0.73 | Global_Sales: 8.42
Rank: 82 | Name: Pokemon Black 2/Pokemon White 2 | Platform: Pokemon Black 2/Pokemon White 2 | Year: 2012 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 2.91 | EU_Sales: 1.86 | JP_Sales: 3.14 | Other_Sales: 0.43 | Global_Sales: 8.33
Rank: 83 | Name: FIFA Soccer 13 | Platform: FIFA Soccer 13 | Year: 2012 | Genre: Action | Publisher: Electronic Arts | NA_Sales: 1.06 | EU_Sales: 5.05 | JP_Sales: 0.13 | Other_Sales: 2.01 | Global_Sales: 8.24
Rank: 84 | Name: The Sims 3 | Platform: The Sims 3 | Year: 2009 | Genre: Simulation | Publisher: Electronic Arts | NA_Sales: 0.98 | EU_Sales: 6.42 | JP_Sales: 0 | Other_Sales: 0.71 | Global_Sales: 8.11
Rank: 85 | Name: GoldenEye 007 | Platform: GoldenEye 007 | Year: 1997 | Genre: Shooter | Publisher: Nintendo | NA_Sales: 5.8 | EU_Sales: 2.01 | JP_Sales: 0.13 | Other_Sales: 0.15 | Global_Sales: 8.09
Rank: 86 | Name: Mario & Sonic at the Olympic Games | Platform: Mario & Sonic at the Olympic Games | Year: 2007 | Genre: Sports | Publisher: Sega | NA_Sales: 2.58 | EU_Sales: 3.9 | JP_Sales: 0.66 | Other_Sales: 0.91 | Global_Sales: 8.06
Rank: 87 | Name: Final Fantasy X | Platform: Final Fantasy X | Year: 2001 | Genre: Role-Playing | Publisher: Sony Computer Entertainment | NA_Sales: 2.91 | EU_Sales: 2.07 | JP_Sales: 2.73 | Other_Sales: 0.33 | Global_Sales: 8.05
Rank: 88 | Name: Final Fantasy VIII | Platform: Final Fantasy VIII | Year: 1999 | Genre: Role-Playing | Publisher: SquareSoft | NA_Sales: 2.28 | EU_Sales: 1.72 | JP_Sales: 3.63 | Other_Sales: 0.23 | Global_Sales: 7.86
Rank: 89 | Name: Pokémon Platinum Version | Platform: Pokémon Platinum Version | Year: 2008 | Genre: Role-Playing | Publisher: Nintendo | NA_Sales: 2.82 | EU_Sales: 1.78 | JP_Sales: 2.69 | Other_Sales: 0.55 | Global_Sales: 7.84
Rank: 90 | Name: Pac-Man | Platform: Pac-Man | Year: 1982 | Genre: Puzzle | Publisher: Atari | NA_Sales: 7.28 | EU_Sales: 0.45 | JP_Sales: 0 | Other_Sales: 0.08 | Global_Sales: 7.81
Rank: 91 | Name: Grand Theft Auto: Liberty City Stories | Platform: Grand Theft Auto: Liberty City Stories | Year: 2005 | Genre: Action | Publisher: Take-Two Interactive | NA_Sales: 2.9 | EU_Sales: 2.83 | JP_Sales: 0.24 | Other_Sales: 1.75 | Global_Sales: 7.72
Rank: 92 | Name: Super Mario Galaxy 2 | Platform: Super Mario Galaxy 2 | Year: 2010 | Genre: Platform | Publisher: Nintendo | NA_Sales: 3.66 | EU_Sales: 2.42 | JP_Sales: 0.98 | Other_Sales: 0.64 | Global_Sales: 7.69
Rank: 93 | Name: Star Wars Battlefront (2015) | Platform: Star Wars Battlefront (2015) | Year: 2015 | Genre: Shooter | Publisher: Electronic Arts | NA_Sales: 2.93 | EU_Sales: 3.29 | JP_Sales: 0.22 | Other_Sales: 1.23 | Global_Sales: 7.67
Rank: 94 | Name: Call of Duty: Advanced Warfare | Platform: Call of Duty: Advanced Warfare | Year: 2014 | Genre: Shooter | Publisher: Activision | NA_Sales: 2.8 | EU_Sales: 3.3 | JP_Sales: 0.14 | Other_Sales: 1.37 | Global_Sales: 7.6
Rank: 95 | Name: The Legend of Zelda: Ocarina of Time | Platform: The Legend of Zelda: Ocarina of Time | Year: 1998 | Genre: Action | Publisher: Nintendo | NA_Sales: 4.1 | EU_Sales: 1.89 | JP_Sales: 1.45 | Other_Sales: 0.16 | Global_Sales: 7.6
Rank: 96 | Name: Crash Bandicoot 2: Cortex Strikes Back | Platform: Crash Bandicoot 2: Cortex Strikes Back | Year: 1997 | Genre: Platform | Publisher: Sony Computer Entertainment | NA_Sales: 3.78 | EU_Sales: 2.17 | JP_Sales: 1.31 | Other_Sales: 0.31 | Global_Sales: 7.58
Rank: 97 | Name: Super Mario Bros. 2 | Platform: Super Mario Bros. 2 | Year: 1988 | Genre: Platform | Publisher: Nintendo | NA_Sales: 5.39 | EU_Sales: 1.18 | JP_Sales: 0.7 | Other_Sales: 0.19 | Global_Sales: 7.46
Rank: 98 | Name: Super Smash Bros. for Wii U and 3DS | Platform: Super Smash Bros. for Wii U and 3DS | Year: 2014 | Genre: Fighting | Publisher: Nintendo | NA_Sales: 3.24 | EU_Sales: 1.35 | JP_Sales: 2.42 | Other_Sales: 0.43 | Global_Sales: 7.45
Rank: 99 | Name: Call of Duty: World at War | Platform: Call of Duty: World at War | Year: 2008 | Genre: Shooter | Publisher: Activision | NA_Sales: 4.79 | EU_Sales: 1.9 | JP_Sales: 0 | Other_Sales: 0.69 | Global_Sales: 7.37
Rank: 100 | Name: Battlefield 3 | Platform: Battlefield 3 | Year: 2011 | Genre: Shooter | Publisher: Electronic Arts | NA_Sales: 4.46 | EU_Sales: 2.13 | JP_Sales: 0.06 | Other_Sales: 0.69 | Global_Sales: 7.34
Rank: 101 | Name: The Legend of Zelda: Twilight Princess | Platform: The Legend of Zelda: Twilight Princess | Year: 2006 | Genre: Action | Publisher: Nintendo | NA_Sales: 3.83 | EU_Sales: 2.19 | JP_Sales: 0.6 | Other_Sales: 0.7 | Global_Sales: 7.31
Rank: 102 | Name: Call of Duty: Black Ops 3 | Platform: Call of Duty: Black Ops 3 | Year: 2015 | Genre: Shooter | Publisher: Activision | NA_Sales: 4.52 | EU_Sales: 2.09 | JP_Sales: 0.01 | Other_Sales: 0.67 | Global_Sales: 7.3
Rank: 103 | Name: Just Dance | Platform: Just Dance | Year: 2009 | Genre: Misc | Publisher: Ubisoft | NA_Sales: 3.51 | EU_Sales: 3.03 | JP_Sales: 0 | Other_Sales: 0.73 | Global_Sales: 7.27
Rank: 104 | Name: Battlefield 3 | Platform: Battlefield 3 | Year: 2011 | Genre: Shooter | Publisher: Electronic Arts | NA_Sales: 2.85 | EU_Sales: 2.93 | JP_Sales: 0.35 | Other_Sales: 1.1 | Global_Sales: 7.23
